id,platform,timestamp,text_raw,label,labeled_at
youtube_00066,youtube,2025-03-07T23:24:13,"Update from me: new Wai Wai displays popping up in Indian supermarkets, big expansion push clearly.",,
facebook_00199,facebook,2025-10-05T16:51:12,That tangy masala flavor hits different every single time.,,
youtube_00208,youtube,2025-02-17T04:47:34,"Bachpan ko taste, kehi le replace garna sakdaina.",,
youtube_00080,youtube,2026-01-06T02:11:45,Couldn't find Wai Wai anywhere near my area in Assam for weeks Been noticing this for a while now.,,
youtube_00006,youtube,2026-06-14T08:25:58,Every rainy season reminds me of Wai Wai with mom growing up Been noticing this for a while now.,,
youtube_00044,youtube,2024-10-09T15:22:10,"Just my take but crunched it dry with the masala as a snack, still amazing That's just how it's been lately.",,
twitter_00175,twitter,2026-04-30T06:04:20,Been eating instant noodles for years and Wai Wai's flavor still wins.,,
youtube_00302,youtube,2024-08-20T10:58:59,Every rainy season reminds me of Wai Wai with mom growing up Anyone else notice the same thing?,,
youtube_00141,youtube,2025-02-15T03:42:00,"Fair enough, the Current Noodles packet did look almost identical to Wai Wai's Might just be me though.",,
youtube_00148,youtube,2025-01-10T23:33:51,My whole family switched to Current Noodles after the price hikes on Wai Wai Been noticing this for a while now.,,
twitter_00086,twitter,2025-07-17T17:38:29,"As a longtime customer, every rainy season reminds me of Wai Wai with mom growing up. 👍👍",,
twitter_00087,twitter,2024-09-09T14:35:51,"From my experience, another price bump on Wai Wai, at this rate it's not a budget snack.",,
twitter_00166,twitter,2024-12-06T12:27:45,"As a longtime customer, cG Foods needs to explain the quality report properly, can't just brush this off At least that's what I've seen.",,
facebook_00142,facebook,2024-10-31T23:42:02,Noticed the Thai packs of Wai Wai got pricier this month. 😂😂😂,,
youtube_00176,youtube,2026-02-22T19:37:42,"As a longtime customer, wai Wai is becoming a lot more visible in Indian stores outside the North East now Just something I noticed.",,
twitter_00227,twitter,2025-08-23T12:07:33,Circling back to this - why did Wai Wai raise the price again? A packet used to be so much cheaper That's just how it's been lately. 😍😍 http://instagram.com/p/xyz123,,
twitter_00264,twitter,2024-09-01T05:11:36,"Even instant noodles aren't affordable anymore, thanks CG Foods Anyone else notice the same thing? 😂😂😂",,
twitter_00230,twitter,2025-10-19T06:04:08,Update from me: the price to quantity ratio has gotten so bad since the hike Might just be me though.,,
youtube_00074,youtube,2025-02-13T10:51:02,Shelves keep running out of Wai Wai at every store I check Wondering what others think.,,
youtube_00319,youtube,2024-09-03T16:29:59,"Wai Wai ekdam mahango vayo, pahile kati sasto thiyo yaad xa Been noticing this for a while now. 😍😍 http://instagram.com/p/xyz123",,
youtube_00098,youtube,2025-05-12T21:19:58,"Wai Wai shelves are expanding so much in India stores lately, great to see.",,
youtube_00262,youtube,2024-09-23T23:06:18,"Circling back to this - wai Wai ko taste ustai maja cha, kehi pani change vako xaina Wondering what others think.",,
youtube_00005,youtube,2025-10-22T10:01:40,"Just saying, tried Maggi vs Wai Wai side by side, still prefer Wai Wai for nostalgia but Maggi cooks faster Anyone else notice the same thing?",,
twitter_00212,twitter,2025-02-09T18:50:10,One more thing - been eating instant noodles for years and Wai Wai's flavor still wins.,,
twitter_00226,twitter,2024-08-01T23:54:17,Nothing hits the nostalgia quite like the smell of Wai Wai masala Just something I noticed.,,
twitter_00136,twitter,2024-11-13T01:51:18,Just my take but anyone know if the acid value issue has been addressed since the penalty?,,
youtube_00105,youtube,2026-02-16T15:38:22,"Been thinking about this - new Wai Wai displays popping up in Indian supermarkets, big expansion push clearly.",,
youtube_00060,youtube,2024-12-27T19:11:00,2PM Noodles gives way more masala for the price these days Wondering what others think. &lt;3 &lt;3,,
twitter_00138,twitter,2025-06-04T09:49:34,Cost of living crisis reaching even the instant noodle aisle now.,,
youtube_00103,youtube,2024-11-14T05:38:27,"Read that the acid value test failed, not touching Wai Wai till they clarify.",,
twitter_00276,twitter,2025-02-12T07:38:00,"Tried Maggi vs Wai Wai side by side, still prefer Wai Wai for nostalgia but Maggi cooks faster.",,
youtube_00195,youtube,2026-03-03T04:14:59,"Just saying, new Wai Wai displays popping up in Indian supermarkets, big expansion push clearly Wondering what others think. 👍👍",,
twitter_00109,twitter,2025-03-30T10:48:42,"Not spicy enough anymore, had to add my own chili flakes. 😍😍 http://instagram.com/p/xyz123",,
facebook_00081,facebook,2025-06-03T03:46:45,"Fair enough, the Current Noodles packet did look almost identical to Wai Wai's Wondering what others think.",,
youtube_00071,youtube,2026-07-06T14:27:29,"Been thinking about this - current Noodles taste ali spicy xa, Wai Wai bhanda differently At least that's what I've seen.",,
twitter_00288,twitter,2025-11-27T04:45:29,"Price badhyo tara quantity ustai xa, feeling a bit cheated about it At least that's what I've seen.",,
youtube_00050,youtube,2025-07-30T03:00:06,Is Wai Wai available outside South Asia? That's just how it's been lately.,,
youtube_00317,youtube,2024-08-28T08:07:10,"Random thought, 20% price hike for instant noodles is rough in this economy That's just how it's been lately.",,
facebook_00140,facebook,2024-08-18T03:56:54,The masala mixed into dry noodles as a snack is unbeatable.,,
youtube_00077,youtube,2025-06-07T21:06:20,20% price hike for instant noodles is rough in this economy Anyone else notice the same thing?,,
youtube_00269,youtube,2026-03-26T11:27:03,"One more thing - new Wai Wai displays popping up in Indian supermarkets, big expansion push clearly Wondering what others think. &amp; loving it tbh <3",,
youtube_00228,youtube,2025-02-19T03:19:52,Patan High Court ruling against Current Noodles is all anyone's talking about today.,,
youtube_00057,youtube,2024-11-11T16:14:05,"From my experience, quality bata compromise garepachi mann pardaina malai.",,
twitter_00161,twitter,2025-12-03T14:07:45,Trying to find the nutrition label for Wai Wai chicken flavor Might just be me though.,,
twitter_00095,twitter,2024-09-21T23:10:24,How many packets come in the family pack usually?,,
youtube_00116,youtube,2024-09-17T08:42:33,"Just my take but energy costs, wheat flour, palm oil - now noodles are caught up in it too Anyone else notice the same thing?",,
youtube_00117,youtube,2025-11-16T20:20:00,"Just saying, couldn't find Wai Wai anywhere near my area in Assam for weeks Just something I noticed.",,
facebook_00121,facebook,2026-01-26T19:03:55,"From my experience, shelves keep running out of Wai Wai at every store I check Wondering what others think.",,
youtube_00091,youtube,2025-06-13T01:03:46,20% price hike for instant noodles is rough in this economy.,,
youtube_00174,youtube,2025-06-02T09:02:47,"Random thought, been eating instant noodles for years and Wai Wai's flavor still wins At least that's what I've seen. 😍😍 http://instagram.com/p/xyz123",,
youtube_00260,youtube,2025-05-28T17:38:04,"From my experience, wondering if the penalty changes anything about how they actually make the product now Wondering what others think. &amp; loving it tbh <3",,
youtube_00286,youtube,2024-09-01T07:22:51,"Wai Wai ekdam mahango vayo, pahile kati sasto thiyo yaad xa. &amp; loving it tbh <3",,
youtube_00019,youtube,2024-09-03T09:25:14,"Current Noodles ekdam ramro xa, spicy khojne haru le try garnu parxa Just something I noticed.",,
youtube_00301,youtube,2025-10-18T18:46:03,Everyone at my hostel switched to 2PM Noodles this year.,,
youtube_00294,youtube,2026-01-30T10:55:19,"From my experience, why change the packet design if the product quality is questionable now Wondering what others think.",,
facebook_00205,facebook,2024-11-07T13:33:54,Quality test failed matlab hamro health sanga khelawad vairaxa jasto lagcha.,,
